No.     Time           Source                Destination           Protocol Length Info
    276 14.491069909   192.168.2.219         192.168.2.15          TCP      58     52092 → 18 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    277 14.491075066   192.168.2.219         192.168.2.15          TCP      58     52092 → 44 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    278 14.491079782   192.168.2.219         192.168.2.15          TCP      58     52092 → 28 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    279 14.491084410   192.168.2.219         192.168.2.15          TCP      58     52092 → 96 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    280 14.491090290   192.168.2.219         192.168.2.15          TCP      58     52092 → 95 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    281 14.491095826   192.168.2.219         192.168.2.15          TCP      58     52092 → 56 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    282 14.491102362   192.168.2.219         192.168.2.15          TCP      58     52092 → 77 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    283 14.491108363   192.168.2.219         192.168.2.15          TCP      58     52092 → 10 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    284 14.491113219   192.168.2.219         192.168.2.15          TCP      58     52092 → 11 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    285 14.491119483   192.168.2.219         192.168.2.15          TCP      58     52092 → 79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    286 14.491124283   192.168.2.219         192.168.2.15          TCP      58     52092 → 34 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    287 14.491129103   192.168.2.219         192.168.2.15          TCP      58     52092 → 75 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    288 14.491133959   192.168.2.219         192.168.2.15          TCP      58     52092 → 2 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    289 14.491139383   192.168.2.219         192.168.2.15          TCP      58     52092 → 57 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    290 14.491145467   192.168.2.219         192.168.2.15          TCP      58     52092 → 36 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    291 14.491151556   192.168.2.219         192.168.2.15          TCP      58     52092 → 43 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
