No.     Time           Source                Destination           Protocol Length Info
    148 13.396370852   192.168.2.219         192.168.2.15          TCP      74     50536 → 44 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    149 13.396378207   192.168.2.219         192.168.2.15          TCP      74     52424 → 98 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    150 13.396390427   192.168.2.219         192.168.2.15          TCP      74     40962 → 29 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    157 13.396588350   192.168.2.219         192.168.2.15          TCP      74     60156 → 57 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    158 13.396596598   192.168.2.219         192.168.2.15          TCP      74     38570 → 76 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    159 13.396603850   192.168.2.219         192.168.2.15          TCP      74     48696 → 20 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    160 13.396611305   192.168.2.219         192.168.2.15          TCP      74     36684 → 71 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    161 13.396618194   192.168.2.219         192.168.2.15          TCP      74     58864 → 42 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    162 13.396625335   192.168.2.219         192.168.2.15          TCP      74     36510 → 70 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    163 13.396632017   192.168.2.219         192.168.2.15          TCP      74     50754 → 51 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    164 13.396642257   192.168.2.219         192.168.2.15          TCP      74     59736 → 52 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    165 13.396649967   192.168.2.219         192.168.2.15          TCP      74     60440 → 78 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    166 13.396656827   192.168.2.219         192.168.2.15          TCP      74     58436 → 5 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    167 13.396663959   192.168.2.219         192.168.2.15          TCP      74     54518 → 11 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    168 13.396671552   192.168.2.219         192.168.2.15          TCP      74     35158 → 40 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    180 13.398119053   192.168.2.219         192.168.2.15          TCP      74     50212 → 72 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
    181 13.398130862   192.168.2.219         192.168.2.15          TCP      74     54382 → 35 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
    182 13.398139096   192.168.2.219         192.168.2.15          TCP      74     36464 → 85 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
    183 13.398146248   192.168.2.219         192.168.2.15          TCP      74     53256 → 68 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
    184 13.398153286   192.168.2.219         192.168.2.15          TCP      74     38852 → 26 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
    185 13.398160241   192.168.2.219         192.168.2.15          TCP      74     53442 → 39 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632806 TSecr=0 WS=128
